"filename", "language", "JSON", "Markdown", "JavaScript", "JSON with Comments", "HTML", "TypeScript", "SCSS", "XML", "CSS", "comment", "blank", "total"
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/components/back-link/back-link.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/components/back-link/back-link.component.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 8, 14, 46
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/components/loading-screen/loading-screen.component.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/components/loading-screen/loading-screen.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/components/loading-screen/loading-screen.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/components/loading-screen/loading-screen.component.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 6, 10, 31
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/directives/directives.module.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/directives/user-icon.directive.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/directives/user-icon.directive.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/alert-button.model.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/autocomplete-data.model.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/autocomplete-mapping.model.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/autocomplete-schema.model.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/autocomplete-server-data.model.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 2, 26
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/dependency.model.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/keycloak-user-information.model.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/metadata-created-tab-content.model.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/metadata-created-tab-content.model.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 7, 27
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/metadata-created-tab.model.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/metadata-created-tab.model.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 7, 28
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/metadata-post-request.model.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/metadata-post-request.model.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/metadata-server-response.model.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/metadata-user-resource-block-sortable-field.model.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/metadata-user-resource-server-response.model.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/metadata-user-resource.model.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/render-option.model.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/models/update-navigation.model.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/services/alert.service.ts", "TypeScript", 0, 0, 0, 0, 0, 67, 0, 0, 0, 56, 38, 161
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/services/autocomplete-mapping.service.ts", "TypeScript", 0, 0, 0, 0, 0, 94, 0, 0, 0, 125, 40, 259
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/services/autocomplete-schema.service.ts", "TypeScript", 0, 0, 0, 0, 0, 83, 0, 0, 0, 121, 34, 238
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/services/autocomplete.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/services/autocomplete.service.ts", "TypeScript", 0, 0, 0, 0, 0, 475, 0, 0, 0, 351, 280, 1106
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/services/dependency.service.ts", "TypeScript", 0, 0, 0, 0, 0, 113, 0, 0, 0, 83, 77, 273
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/shared/services/event-helper.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
